BUOY_ID DATE TIME PRES TCFLUO
E1 2022-01-01 00:00:30 1.722 2.19
E1 2022-01-01 01:00:30 1.742 1.912
E1 2022-01-01 02:00:30 1.73 2.142
E1 2022-01-01 03:00:30 1.719 1.827
E1 2022-01-01 04:00:30 1.715 1.742
E1 2022-01-01 05:00:30 1.762 1.851
E1 2022-01-01 06:00:30 1.719 2.081
E1 2022-01-01 07:00:30 1.745 2.069
E1 2022-01-01 08:00:30 1.745 1.924
E1 2022-01-01 09:00:30 1.765 2.178
E1 2022-01-01 10:00:30 1.749 2.069
E1 2022-01-01 11:00:30 1.746 2.747
E1 2022-01-01 12:00:30 1.737 2.178
E1 2022-01-01 13:00:30 1.764 2.396
E1 2022-01-01 14:00:30 1.723 2.468
E1 2022-01-01 15:00:30 1.747 2.42
E1 2022-01-01 16:00:30 1.737 3.69
E1 2022-01-01 17:00:30 1.742 3.025
E1 2022-01-01 18:00:30 1.742 2.48
E1 2022-01-01 19:00:30 1.747 2.299
E1 2022-01-01 20:00:30 1.748 2.565
E1 2022-01-01 21:00:30 1.773 1.863
E1 2022-01-01 22:00:30 1.776 1.863
E1 2022-01-01 23:00:30 1.771 2.372
E1 2022-01-02 00:00:30 1.752 1.984
E1 2022-01-02 01:00:30 1.756 2.347
E1 2022-01-02 02:00:30 1.76 2.819
E1 2022-01-02 03:00:30 1.752 2.807
E1 2022-01-02 04:00:30 1.771 3.618
E1 2022-01-02 05:00:30 1.749 4.066
E1 2022-01-02 06:00:30 1.754 3.448
E1 2022-01-02 07:00:30 1.748 2.771
E1 2022-01-02 08:00:30 1.747 3.424
E1 2022-01-02 09:00:30 1.742 3.158
E1 2022-01-02 10:00:30 1.747 1.875
E1 2022-01-02 11:00:30 1.741 1.585
E1 2022-01-02 12:00:30 1.727 2.36
E1 2022-01-02 13:00:30 1.715 1.984
E1 2022-01-02 14:00:30 1.71 3.134
E1 2022-01-02 15:00:30 1.692 3.025
E1 2022-01-02 16:00:30 1.707 4.465
E1 2022-01-02 17:00:30 1.745 3.763
E1 2022-01-02 18:00:30 1.725 3.884
E1 2022-01-02 19:00:30 1.659 4.235
E1 2022-01-02 20:00:30 1.719 4.054
E1 2022-01-02 21:00:30 1.704 4.61
E1 2022-01-02 22:00:30 1.709 3.739
E1 2022-01-02 23:00:30 1.712 3.92
E1 2022-01-03 00:00:30 1.728 4.247
E1 2022-01-03 01:00:30 1.732 4.658
E1 2022-01-03 02:00:30 1.71 5.167
E1 2022-01-03 03:00:30 1.705 6.546
E1 2022-01-03 04:00:30 1.708 5.566
E1 2022-01-03 05:00:30 1.686 4.828
E1 2022-01-03 06:00:30 1.687 5.046
E1 2022-01-03 07:00:30 1.745 4.598
E1 2022-01-03 08:00:30 1.704 5.723
E1 2022-01-03 09:00:30 1.694 7.466
E1 2022-01-03 10:00:30 1.721 8.603
E1 2022-01-03 11:00:30 1.704 9.014
E1 2022-01-03 12:00:30 1.701 10.6
E1 2022-01-03 13:00:30 1.674 11.047
E1 2022-01-03 14:00:30 1.728 10.648
E1 2022-01-03 15:00:30 1.671 9.474
E1 2022-01-03 16:00:30 1.673 8.821
E1 2022-01-03 17:00:30 1.704 8.53
E1 2022-01-03 18:00:30 1.659 7.103
E1 2022-01-03 19:00:30 1.659 5.881
E1 2022-01-03 20:00:30 1.706 6.195
E1 2022-01-03 21:00:30 1.678 6.292
E1 2022-01-03 22:00:30 1.682 7.466
E1 2022-01-03 23:00:30 1.688 7.345
E1 2022-01-04 00:00:30 1.667 10.176
E1 2022-01-04 01:00:30 1.657 10.466
E1 2022-01-04 02:00:30 1.622 9.583
E1 2022-01-04 03:00:30 1.636 8.942
E1 2022-01-04 04:00:30 1.61 7.018
E1 2022-01-04 05:00:30 1.649 6.824
E1 2022-01-04 06:00:30 1.657 8.046
E1 2022-01-04 07:00:30 1.618 7.175
E1 2022-01-04 08:00:30 1.598 5.07
E1 2022-01-04 09:00:30 1.619 4.017
E1 2022-01-04 10:00:30 1.62 3.666
E1 2022-01-04 11:00:30 1.621 5.506
E1 2022-01-04 12:00:30 1.603 7.187
