PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,8.0,1,38.929,1,24.893,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,9.0,1,38.86,1,24.6,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,9.9,1,38.779,1,24.307,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,10.7,1,38.758,1,23.524,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,11.9,1,38.889,1,23.251,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,12.8,1,38.899,1,22.737,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,13.9,1,38.906,1,22.261,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,14.8,1,38.904,1,21.552,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,15.8,1,38.846,1,20.888,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,16.7,1,38.806,1,19.716,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,17.7,1,38.788,1,18.961,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,18.7,1,38.787,1,18.486,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,19.7,1,38.815,1,18.074,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,20.7,1,38.776,1,17.633,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,21.7,1,38.782,1,17.237,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,22.8,1,38.795,1,16.841,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,24.1,1,38.792,1,16.652,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,25.0,1,38.811,1,16.418,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,25.9,1,38.803,1,16.245,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,27.0,1,38.792,1,15.928,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,28.0,1,38.796,1,15.709,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,29.0,1,38.799,1,15.575,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,30.0,1,38.806,1,15.455,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,31.0,1,38.804,1,15.355,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,32.0,1,38.806,1,15.2,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,33.0,1,38.809,1,15.111,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,34.1,1,38.804,1,15.095,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,35.1,1,38.825,1,14.977,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,35.9,1,38.817,1,14.964,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,36.8,1,38.827,1,14.877,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,37.9,1,38.81,1,14.84,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,39.0,1,38.811,1,14.734,1
6903783,2020-07-31T11:59:00Z,1,44.04086,13.68963,1,40.0,1,38.819,1,14.585,1
